t,x_t,y_t
0.0,0.0,20.0
0.0001,0.0,19.999800000999997
0.0002,0.0,19.999600003999973
0.00030000000000000003,0.0,19.99940000899991
0.0004,0.0,19.999200015999786
0.0005,0.0,19.99900002499958
0.0006000000000000001,0.0,19.998800035999277
0.0007,0.0,19.998600048998853
0.0008,0.0,19.99840006399829
0.0009000000000000001,0.0,19.998200080997567
0.001,0.0,19.998000099996663
0.0011,0.0,19.99780012099556
0.0012000000000000001,0.0,19.997600143994237
0.0013000000000000002,0.0,19.997400168992673
0.0014,0.0,19.99720019599085
0.0015,0.0,19.997000224988746
0.0016,0.0,19.996800255986344
0.0017000000000000001,0.0,19.996600288983622
0.0018000000000000002,0.0,19.99640032398056
0.0019,0.0,19.996200360977134
0.002,0.0,19.99600039997333
0.0021000000000000003,0.0,19.995800440969127
0.0022,0.0,19.995600483964505
0.0023,0.0,19.995400528959443
0.0024000000000000002,0.0,19.99520057595392
0.0025,0.0,19.995000624947917
0.0026000000000000003,0.0,19.994800675941413
0.0027,0.0,19.99460072893439
0.0028,0.0,19.994400783926828
0.0029000000000000002,0.0,19.994200840918705
0.003,0.0,19.994000899910002
0.0031000000000000003,0.0,19.9938009609007
0.0032,0.0,19.99360102389078
0.0033,0.0,19.993401088880216
0.0034000000000000002,0.0,19.993201155868995
0.0035,0.0,19.993001224857093
0.0036000000000000003,0.0,19.99280129584449
0.0037,0.0,19.992601368831167
0.0038,0.0,19.992401443817105
0.0039000000000000003,0.0,19.992201520802283
0.004,0.0,19.992001599786683
0.0041,0.0,19.99180168077028
0.004200000000000001,0.0,19.99160176375306
0.0043,0.0,19.991401848735
0.0044,0.0,19.991201935716077
0.0045000000000000005,0.0,19.991002024696275
0.0046,0.0,19.990802115675574
0.0047,0.0,19.990602208653954
0.0048000000000000004,0.0,19.990402303631395
0.0049,0.0,19.990202400607874
0.005,0.0,19.990002499583376
0.0051,0.0,19.989802600557876
0.005200000000000001,0.0,19.989602703531357
0.0053,0.0,19.989402808503797
0.0054,0.0,19.98920291547518
0.0055000000000000005,0.0,19.98900302444548
0.0056,0.0,19.988803135414685
